Author_Username,Tweet_Text,Mentions,Reply_To,Quote_Tweet_Of,Engagement
@pikiran_rakyat,Mantan Menteri Komunikasi dan Informatika (Menkominfo) Budi Arie Setiadi memberikan keterangan terkait pengembangan penyidikan kasus judi online di lingkungan Kementerian Komunikasi dan Digital (Komdigi) kepada tim Korps Pemberantasan Tindak Pidana Korupsi (Kortastipidkor),,,,"Replies: 1, Retweets: , Likes: 2"
@lensaRTV,"Dipanggil Bareskrim Polri, Menteri Koperasi Budi Arie merasa wajib membantu Kepolisian dalam pemberantasan judi online di (Komdigi. Hal itu diungkap setelah menjalani pemeriksaan di Bareskrim, Kamis (19/12) sore. Budi Arie diperiksa dalam kapasitasnya sebagai mantan Menkominfo.",,,,"Replies: , Retweets: , Likes: "
@KompasTV,"Kasus Judol di Komdigi, Budi Arie: Kita Dukung Pemberantasan Judi Online


https://
kompas.tv/video/551584/k
asus-judol-di-komdigi-budi-arie-kita-dukung-pemberantasan-judi-online
…",,,,"Replies: 11, Retweets: 5, Likes: 5"
@golkarpedia,"Dave Laksono Minta Komdigi dan BSSN Lebih Kreatif Dalam Pemberantasan Judi Online
#bahlillahadalia #kuningkeren #golkarindonesia #partaigolkar #golkarpedia

https://
golkarpedia.com/dave-laksono-m
inta-komdigi-dan-bssn-lebih-kreatif-dalam-pemberantasan-judi-online/
…",,,,"Replies: , Retweets: 45, Likes: 5"
@_hompimpha,"Potret tragedi moral dan krisis nalar di masyarakat kita.

Ini tamparan bagi upaya pemberantasan korupsi. Tanpa adanya sanksi sosial yang tegas dari masyarakat, penjara hanya akan menjadi ""istirahat sejenak"" bagi para koruptor sebelum mereka kembali menikmati privilese sosialnya.",,,@MiskinTV_,"Replies: , Retweets: , Likes: "
@RadioElshinta,"Kementrian Komunikasi dan Digital (Komdigi), melakukan monitoring bersama dengan Pusat Pelaporan dan Analisis Transaksi Keuangan (PPATK) dan Otoritas Jasa Keuangan (OJK) bertujuan untuk melakukan pemberantasan Judi Online yang berkeliaran di dunia digital. Hal ini disampaikan",,,,"Replies: , Retweets: , Likes: "
@setkabgoid,"Presiden Prabowo Subianto menerima Menteri Komunikasi dan Digital (Menkomdigi) Meutya Hafid di Istana Merdeka, Jakarta, Jumat (1/11/2024). Presiden mendorong agar pemberantasan judi online menjadi prioritas utama Kementerian Komdigi. Bahkan, sejak 10 hari pertama setelah Presiden",,,,"Replies: 192, Retweets: 218, Likes: 1.4K"
@bankbsi_id,"Assalamualaikum Kak KhaidirMH, mohon maaf atas ketidaknyamanannya. Penggunaan BYOND by BSI saat ini terinformasikan berjalan dengan lancar. Sehingga, untuk hal yang dialami dapat memastikan telah menggunakan jaringan serta sinyal yang stabil, menggunakan versi BYOND by BSI (1/4)",,@KhaidirMH,,"Replies: 1, Retweets: , Likes: "
@UMonline,Platform gagal tangani judi dalam talian boleh didenda RM10 juta,,,,"Replies: , Retweets: 1, Likes: 1"
@kompascom,Anggota Komisi I DPR RI Amelia Anggraini menilai pemeriksaan Eks Menteri Komunikasi dan Informatika (Menkominfo) Budi Arie Setiadi terkait pegawai Komdigi yang membekingi judi online adalah langkah positif. | #BudiArie,,,,"Replies: 2, Retweets: 1, Likes: 6"
@VIVAcoid,"Jelang Piala Dunia 2026, Kapolri Kirim Peringatan Keras untuk Bandar Judi! Satgas Anti Mafia Bola 'Hidup' Lagi",,,,"Replies: , Retweets: , Likes: "
@mediaindonesia,"Kontroversi Budi Arie di Komdigi Kasus Judol

Mantan Menteri Komunikasi dan Informatika yang kini menjabat sebagai Menteri Koperasi Budi Arie Setiadi akhirnya diperiksa dalam kasus judi online (judol). Dia dimintai keterangan sebagai saksi oleh penyidik Korps Pemberantasan Tindak",,,,"Replies: 1, Retweets: , Likes: 2"
@golkarpedia,"Meutya Hafid Minta Jajaran ASN Komdigi Tandatangani Pakta Integritas Pemberantasan Judi Online
#bahlillahadalia #kuningkeren #golkarindonesia #partaigolkar #golkarpedia

https://
golkarpedia.com/meutya-hafid-m
inta-jajaran-asn-komdigi-tandatangani-pakta-integritas-pemberantasan-judi-online/
…",,,,"Replies: , Retweets: 55, Likes: 9"
@kompascom,"Selain pembatasan media sosial bagi anak, Komdigi juga menegaskan komitmennya dalam pemberantasan judi online yang semakin marak. | #Komdigi",,,,"Replies: 6, Retweets: 7, Likes: 8"
@Mdy_Asmara1701,"Dukung Pemberantasan Judi Online sampai akar-akarnya 

Polisi Kembali Tangkap 2 Tersangka Kasus Judi Online Komdigi, Total Sudah 16 Orang",,,,"Replies: 15, Retweets: 91, Likes: 171"
@mediaindonesia,MENTERI Komunikasi dan Digital (Komdigi) Meutya Hafid mejelaskan Desk Pemberantasan Perjudian Daring pada November 2024 telah mengajukan 651 permohonan pemblokiran rekening bank yang terkait dengan aktivitas judi online.,,,,"Replies: , Retweets: 1, Likes: "
@KompasTV,"Komdigi Sebut Transaksi Judi Online Berpotensi Capai Rp700 Triliun: Pemberantasan Butuh Kolaborasi


https://
kompas.tv/nasional/55475
6/komdigi-sebut-transaksi-judi-online-berpotensi-capai-rp700-triliun-pemberantasan-butuh-kolaborasi
…",,,,"Replies: , Retweets: , Likes: 4"
@polsek_loakulu,*Polri Dapat Dukungan DPR dalam Pemberantasan Judi Online di Komdigi*,,,,"Replies: , Retweets: , Likes: "
@kompascom,"{Thread}

Oknum pegawai Kementerian Komunikasi dan Digital (Komdigi), yang seharusnya menjadi garda terdepan pemberantasan situs judi online, justru menjadi pihak yang menjaganya tetap subur.",,,,"Replies: 16, Retweets: 53, Likes: 140"
@Ari3Pras,"Semakin meruncing komitmen dari eksekutif dan legislatif thd langkah2 pemberantasan judi online dan pinjaman online, serta membongkar seluruh stake holder yg terlibat.

""Kalau sampai ke mantan menteri ya kita buka sampai ke sana.""

Raker DPR dengan Menteri Komdigi 
@kemkominfo
 ",@kemkominfo,,,"Replies: , Retweets: 2, Likes: 1"
@mazzini_gsp,"Budi Arie diperiksa Korps Pemberantasan Korupsi Polri di Bareskrim Polri. Pihak Polri belum menjelaskan konteks pemeriksaan.
Kemungkinan substansi pemeriksaan terkait kasus judi online yg melibatkan pegawainya dulu di Komdigi.

https://
news.seatoday.com/id/maria-bella
/11448/mantan-menkominfo-budi-arie-diperiksa-korps-pemberantas-korupsi
…",,,,"Replies: 1, Retweets: 6, Likes: 9"
@kompascom,"Oknum pegawai Komdigi yang seharusnya menjadi garda terdepan pemberantasan situs judi online, justru menjadi pihak yang menjaganya tetap subur. 

~N #Judol #Komdigi #JudiOnlien",,,,"Replies: 81, Retweets: 90, Likes: 184"
@ginawijayaaa,Ayoo dukung pemberantasan judi online,,,,"Replies: , Retweets: , Likes: "
@NarasiNewsroom,Kasus penangkapan 11 tersangka dalam jaringan judi online yang melibatkan pegawai Kementerian Komunikasi dan Digital (Komdigi) di Bekasi mengungkap ironi pahit bahwa individu-individu yang harusnya menjadi garda depan pemberantasan situs judi online justru malah terlibat sebagai,,,,"Replies: 17, Retweets: 65, Likes: 155"
@catchmeupco,"Menteri Koperasi yang juga eks Menkominfo Budi Arie Setiadi diperiksa penyidik Korps Pemberantasan Tindak Pidana Korupsi (Kortastipidkor) Bareskrim Polri pada Kamis (19/12/2024).

Pemeriksaan Budi Arie tersebut terkait kasus judi online yang melibatkan belasan pegawai di Komdigi.",,,,"Replies: 1, Retweets: 15, Likes: 46"
@bernamadotcom,"Social media platforms can be fined up to RM10 million if they fail to address content or advertisements related to online gambling - MADANI Government Spokesperson who is also the Communications Minister Datuk Fahmi Fadzil


@fahmi_fadzil
 

@komunikasi_gov","@fahmi_fadzil, @komunikasi_gov",,,"Replies: , Retweets: 2, Likes: 6"
@yoo_jiminae,"Tukan demiAllaah setakut itu gue jadinya dikira seller gabisa jadi korban, seller juga bisa kan jadi korban kek gini salah satunya. Para buyer daripada minta2 identitas instead of proof2 ticket or else, mending skip aja cari seller lain. Asli merinding banget",,,@thhhvoo,"Replies: , Retweets: , Likes: "
@TajukNasional,"[BERITA UTAMA] Judi Online Ancam Anak, Masyarakat Diminta Lapor ke SAPA 129",,,,"Replies: , Retweets: , Likes: "
@mediaindonesia,Menteri Pemberdayaan Perempuan dan Perlindungan Anak (PPPA) Arifah Fauzi menegaskan perlindungan anak dari jeratan judi online (judol) kini telah ditetapkan sebagai prioritas nasional.,,,,"Replies: , Retweets: , Likes: "
@detikcom,"Komdigi mengakui pemberantasan judi online masih jadi tantangan besar meski jutaan konten sudah ditindak. Upaya ini butuh kombinasi teknologi, prosedur, dan peran masyarakat.


https://
inet.detik.com/law-and-policy
/d-8117254/komdigi-ungkap-susah-payah-basmi-judi-online-ajak-warga-ikut-berperan
…?",,,,"Replies: 11, Retweets: 8, Likes: 5"
@ANTI_ILEGAL," OFFICIAL ABUSE REPORT | 
@Namecheap

Domain 
http://
akunsibayaktoto.site is confirmed to be operating as an illegal online gambling platform actively targeting Indonesian citizens.
 Legal Violations:
▸ Article 27(2) of UU ITE No.1/2024 — distributing illegal content
▸ Article",@Namecheap,,,"Replies: 1, Retweets: , Likes: "
@detikcom,"Former Minister of Communication and Informatics Budi Arie said he will assist the police in eradicating online gambling cases in Komdigi. According to him, cracking down on online gambling is also an effort to protect the public.",,,,"Replies: 8, Retweets: , Likes: 7"
@HumasJatiasih,"JANGAN BIARKAN JUDOL MENGENDALIKAN DIRIMU

Judi online bukan sekadar hiburan, tetapi ancaman nyata bagi kestabilan finansial dan kehidupan pribadi. jangan sampai terjerat dan kehilangan kendali. Segera laporkan melalui layanan 110 jika menemukan indikasi judi online.",,,,"Replies: , Retweets: , Likes: 1"
@safenetvoice,"Received a love letter from Komdigi?

SAFEnet and REMOTIVI invite the public to collectively document violations of freedom of expression occurring on social media in the form of warnings from platforms or direct content takedowns.

Come on, join in reporting and documenting",,,,"Replies: 11, Retweets: 6.2K, Likes: 7.4K"
@INFOBNN,"BNN DAN KEMKOMDIGI BERSINERGI TINGKATKAN PENGAWASAN KEJAHATAN NARKOTIKA DI RUANG DIGITAL

Seiring berkembangnya teknologi informasi, modus operandi kejahatan narkotika turut berevolusi dengan memanfaatkan berbagai platform digital sebagai sarana promosi dan transaksi. Merespons",,,,"Replies: , Retweets: 1, Likes: 2"
@grok,"Angga Raka Prabowo punya prestasi di bidang politik dan pemerintahan, seperti:

- Memimpin tim media kampanye Prabowo-Gibran hingga menang di Pilpres 2024.
- Sebagai Wamen Komdigi (2024-sekarang), mendorong regulasi digital, perlindungan data, dan pemberantasan judi online.
-",,@Wahyu_edin,,"Replies: 1, Retweets: , Likes: "
@MsiaHariIni,"Orang ramai digalakkan untuk melaporkan sebarang iklan, laman web atau pautan yang mempromosikan judi dalam talian kepada MCMC supaya tindakan segera dapat diambil bagi membendung penyebaran aktiviti tersebut sepanjang kempen Piala Dunia berlangsung.",,,,"Replies: , Retweets: , Likes: "
@MCAOps,"Darurat LGBT, Komisi VIII DPR RI mendesak Kementerian Komunikasi dan Digital (Komdigi) serta aparat penegak hukum untuk bersikap lebih proaktif dan agresif dalam memblokir akun-akun maupun konten yang bermuatan kampanye lesbian, gay, biseksual, dan transgender (LGBT) di media",,,,"Replies: , Retweets: , Likes: 1"
@PPATK,"Hai #FIUtizen

Mekanisme judi online dirancang untuk membuat pemain terus terlibat tanpa benar-benar menyadari risiko yang dihadapi.

Dampaknya tidak hanya terbatas pada kerugian finansial, tetapi juga dapat memengaruhi kondisi mental dan kualitas hidup secara keseluruhan.
#PPATK",,,,"Replies: , Retweets: 1, Likes: 1"
@Harian_Jogja,"Judi Online Ancam Anak Indonesia, KemenPPPA Ajak Warga Segera Melapor",,,,"Replies: , Retweets: , Likes: "
@ANTI_ILEGAL," OFFICIAL ABUSE REPORT | 
@Namecheap

Domain 
http://
senyumtotob7.com is confirmed to be operating as an illegal online gambling platform actively targeting Indonesian citizens.
 Legal Violations:
▸ Article 27(2) of UU ITE No.1/2024 — distributing illegal content
▸ Article",@Namecheap,,,"Replies: 1, Retweets: , Likes: "
@Media_Selangor,"Piala Dunia 2026: SKMM akan ambil tindakan kegiatan judi dalam talian 
https://
mediaselangor.com/ms/2026/06/378
369?utm_source=dlvr.it&utm_medium=twitter
…",,,,"Replies: , Retweets: , Likes: "
@garudatvnews,"3 bulan setelah PP Tunas berlaku, Netflix, PUBG, Roblox, sampai ChatGPT ramai-ramai setor “rapor” pertama ke Komdigi.

Sini, aku Spill Dikit! 

Naskah | VO | Admin: PM
Video Editor: FZ
Grafis: UH

#SpillDikitGarudaTV #PPTUNAS #Komdigi #PPTunas #RuangDigital",,,,"Replies: , Retweets: , Likes: 1"
@beritainspirat1,Satgas Anti-Mafia Bola Diaktifkan Kembali Guna Cegah Judi Selama Piala Dunia 2026,,,,"Replies: , Retweets: , Likes: "
@suarakeadilan99,"Piala Dunia 2026: Kerajaan pantau, ambil tindakan terhadap judi 'online'",,,,"Replies: , Retweets: , Likes: "
@Media_Selangor,"Suruhanjaya Komunikasi dan Multimedia Malaysia (SKMM) akan mengambil tindakan terhadap kandungan berunsur judi dalam talian sepanjang kejohanan Piala Dunia 2026 yang bermula Khamis ini.

Berita penuh: 
https://
shorturl.at/qu2rX

#MediaSelangor #SKMM #PialaDunia2026",,,,"Replies: , Retweets: , Likes: "
@ANTI_ILEGAL,"OFFICIAL ABUSE REPORT | 
@Namecheap

Domain 
http://
zeus138jaminan.com is confirmed to be operating as an illegal online gambling platform actively targeting Indonesian citizens.
 Legal Violations:
▸ Article 27(2) of UU ITE No.1/2024 — distributing illegal content
▸ Article 45(3)",@Namecheap,,,"Replies: 1, Retweets: , Likes: "
@radarmasnetwork,"Polres Purbalingga melakukan pemeriksaan mendadak untuk menjaga disiplin anggotanya. Fokus utama adalah menghindari praktik judi online. Hasilnya positif, tidak ada pelanggaran terdeteksi. Disiplin tetap jadi prioritas! #Polri #Disiplin #JudiOnline",,,,"Replies: , Retweets: , Likes: "
@kemkomdigi,"The Minister of Communication and Digital Affairs also invites the public to use the World Cup as a momentum to strengthen unity and sportsmanship, as well as to avoid negative practices such as online gambling and illegal football betting.

#Kemkomdigi #Menkomdigi #WorldCup2026",,@kemkomdigi,,"Replies: 1, Retweets: , Likes: "
@MediaPermata,"S’pura ketatkan penguatkuasaan perjudian haram Piala Dunia 2026⁠

#MediaPermata #BeritaBrunei #ASEAN #singapura #ketatkan #penguatkuasaan #perjudian #haram #pialadunia",,,,"Replies: , Retweets: , Likes: "
@Logika_saya,"Mengingatkan saja ke 

@KPU_ID
 
Manipulasi data kalian di 2024 pemenangan by design telah merusak negara ini
Kalian akan dimintai pertanggungjawaban di judgment day 
Cc

@Kemenag_RI
 

@DPR_RI
 
Bertaubatlah dengan meminta maaf pada seluruh rakyat negeri ini.","@KPU_ID, @Kemenag_RI, @DPR_RI",,,"Replies: 1, Retweets: , Likes: "
@abadikinicom,"Menkomdigi Tegaskan Netflix, PUBG, Shopee Sudah Lapor Penilaian Mandiri PP Tunas",,,,"Replies: , Retweets: , Likes: "
@ANTI_ILEGAL," OFFICIAL ABUSE REPORT | 
@Namecheap

Domain 
http://
madunikmat303.shop is confirmed to be operating as an illegal online gambling platform actively targeting Indonesian citizens.
 Legal Violations:
▸ Article 27(2) of UU ITE No.1/2024 — distributing illegal content
▸ Article",@Namecheap,,,"Replies: , Retweets: , Likes: "
@ANTI_ILEGAL," OFFICIAL ABUSE REPORT | 
@Namecheap

Domains 
http://
hanoman77a.store and 
http://
hanoman77.info — including subdomains 
http://
nn004.hanoman77a.store and 
http://
hanoman77.info/fymr — are confirmed to be operating as illegal online gambling platforms actively targeting Indonesian",@Namecheap,,,"Replies: 1, Retweets: , Likes: "
@Insertlivettv,BPOM mengungkap 263 ribu tautan digital yang jual kosmetik ilegal. Pengawasan bersama Komdigi dilakukan untuk menekan peredaran produk tanpa izin edar.,,,,"Replies: , Retweets: , Likes: "
@utamanewscom,"Judi Online Hancurkan Segalanya: Ludes Rp297 Juta, Karyawan di Dairi Rekayasa Jadi Korban Begal",,,,"Replies: , Retweets: , Likes: "
@xLanglangBuana,"Bukan nggak boleh Komdigi bertindak tegas melawan disinformasi terhadap pemerintah.

Tapi Komdigi yang sangat gercep terhadap pelanggan yang dilakukan, tapi membiarkan JUDOL yang makin merajalela, jadi nggak bisa tidak kita menganggap Komdigi hanya jadi alat kontrol rakyat.",,,@kurawa,"Replies: , Retweets: , Likes: "
@BuletinTV3,Piala Dunia 2026: MCMC akan ambil tindakan terhadap judi dalam talian,,,,"Replies: , Retweets: , Likes: "
@grok,"Twit Bu Susi memuji keberhasilan Kementerian Komdigi yang memblokir 2,4 juta konten judi online dalam dua pekan, sebagai bukti bahwa upaya pemberantasan judi daring bisa dilakukan secara efektif. Ia mendukung instruksi Presiden Prabowo untuk melanjutkan blokir jutaan situs",,@solsanamcbile_,,"Replies: , Retweets: , Likes: "
@ANTI_ILEGAL," OFFICIAL ABUSE REPORT | 
@Namecheap

Domains 
http://
kota188win.com, 
http://
linkkota188.com, 
http://
main-kota188.com, 
http://
gacor-kota188.com, and 
http://
kota188yess.com — including subdomains 
http://
go.kota188win.com, 
http://
link7.main-kota188.com, and 
http://
a.gacor-kota188.com — are",@Namecheap,,,"Replies: , Retweets: , Likes: "
@vita_AVP,"Karena oksigen belum bisa dimonopoli, jadi air putih duluan yang dibisnisin.

Aturannya sederhana: di dalam gedung boleh jualan, tapi hak dasar jangan digadai. Haus itu kebutuhan biologis, bukan opsi premium. Mau konser, bioskop, atau foodcourt, orang bawa air sendiri itu bukan",,,@MenteriPekerja,"Replies: , Retweets: , Likes: "
@SinarOnline,"Piala Dunia 2026: MCMC ambil tindakan kandungan judi dalam talian

Orang ramai disaran menyalurkan aduan kepada suruhanjaya itu sekiranya menemui kandungan berkaitan bagi membolehkan tindakan sewajarnya diambil.


https://
sinarharian.com.my/article/782942
/berita/nasional/piala-dunia-2026-mcmc-ambil-tindakan-kandungan-judi-dalam-talian
…

#sinarharian #beritaterkini",,,,"Replies: , Retweets: , Likes: "
@GesuriID,"Sudin Soroti Narkoba, Judi Online, Pinjaman Online Ilegal, Hingga Kejahatan Digital di Kota Bandar Lampung",,,,"Replies: , Retweets: , Likes: "
@POLRESTA_MKW,PROPAM POLRESTA MANOKWARI BERSAMA PROPAM POLDA PAPUA BARAT LAKSANAKAN SIDAK TERKAIT JUDI ONLINE DAN JUDI BOLA,,,,"Replies: , Retweets: , Likes: 1"
@OganPolres,"STOPP JUDI ONLINE!!!

Bila ada permasalahan dan butuh bantuan Polisi silahkan hubungi :

Call Center : 110 (Bebas Pulsa)

""KAMI SIAP MELAYANI 24 JAM""

#polripresisi #polriuntukmasyarakat #poldasumsel #humaspolri #polresoganilir",,,,"Replies: , Retweets: , Likes: "
@BuletinTV3,"Polis lancar Op Soga XI, banteras judi haram sempena Piala Dunia FIFA 2026",,,,"Replies: , Retweets: , Likes: "
@narkosun,"Sebenarnya maunya Jaksa ke Nadiem ini apa?

Narasinya berubah-ubah terus. Dakwaannya adalah perbuatan melawan hukum dan kerugian negara. Dasarnya audit BPKP senilai Rp1,5 triliun. Namun, dakwaan Rp2,1 triliun. Kita aja yg lihat bingung.

Trus pada replik disebut kejahatan White",,,@narkosun,"Replies: , Retweets: , Likes: "
@ANTI_ILEGAL," OFFICIAL ABUSE REPORT | 
@Namecheap

Domains 
http://
obakitchensacramento.com and 
http://
manismd.store are confirmed to be operating as illegal online gambling platforms actively targeting Indonesian citizens.
 Legal Violations:
▸ Article 27(2) of UU ITE No.1/2024 — distributing",@Namecheap,,,"Replies: 1, Retweets: , Likes: 1"
@ANTI_ILEGAL," OFFICIAL ABUSE REPORT | 
@Namecheap

Domains 
http://
hanoman77vip.xyz and 
http://
hanoman77z.live — including subdomain 
http://
na001.hanoman77z.live — are confirmed to be operating as illegal online gambling platforms actively targeting Indonesian citizens.
 Legal Violations:
▸",@Namecheap,,,"Replies: 1, Retweets: , Likes: "
@ANTI_ILEGAL," OFFICIAL ABUSE REPORT | 
@Namecheap

Domains 
http://
hanoman77b.art and 
http://
hanoman77c.site — including subdomain 
http://
om001.hanoman77c.site — are confirmed to be operating as illegal online gambling platforms actively targeting Indonesian citizens.
 Legal Violations:
▸",@Namecheap,,,"Replies: , Retweets: , Likes: "
@kejaritapsel," Cuan Instan atau Jebakan? 

Di era digital, judi online sering tampil dengan janji keuntungan besar dalam waktu singkat. Namun di balik iming-iming tersebut, terdapat risiko yang tidak sedikit, mulai dari kerugian finansial, gangguan sosial, hingga konsekuensi hukum.

(c)",,,,"Replies: 1, Retweets: , Likes: "
@batamtoday,"Kapolri Bakal Aktifkan Satgas Anti Mafia Bola, Berantas Judi Piala Dunia 2026",,,,"Replies: , Retweets: , Likes: "
@PolsekSmdKota, Judi Online Bikin Kantong Kosong! ,,,,"Replies: , Retweets: , Likes: "
@polres_madiun,"STOP JUDI ONLINE & JUDI NOMOR!

#PolresMadiun #StopJudiOnline #StopJudiNomor #JudiMerusakMasaDepan #PolriPresisi #CallCenter110 #KabupatenMadiun #MadiunAman #BebasJudi #PolriUntukMasyarakat #JauhiJudi #IndonesiaTanpaJudiOnline",,,,"Replies: 8, Retweets: 2, Likes: 33"
@zlk69,"Op Soga XI sempena Piala Dunia FIFA buru sindiket judi, pertaruhan – JSJ",,,,"Replies: , Retweets: , Likes: "
@bharianmy,"Piala Dunia: Judi dalam talian, MCMC akan ambil tindakan - Fahmi

#BHnasional Tindakan juga boleh dikenakan terhadap portal judi dalam talian",,,,"Replies: , Retweets: , Likes: 1"
@bharianmy,"Piala Dunia FIFA 2026: Op Soga XI digerak banteras judi 

#BHnasional Operasi bersepadu itu dilaksanakan secara agresif dan menyeluruh membabitkan semua kontinjen negeri.",,,,"Replies: , Retweets: , Likes: "
@bernamadotcom,"MCMC takes firm action against online gambling activities throughout the 2026 World Cup - 
@fahmi_fadzil
 

 
https://
bernama.com/bm/jenayah_mah
kamah/news.php?id=2566117
…

#BernamaNews 
#JudiDalamTalian
#PialaDunia2026",@fahmi_fadzil,,,"Replies: , Retweets: 5, Likes: 7"
@BernamaTV,"#DariBilikBerita: MCMC ambil tindakan tegas aktiviti judi dalam talian sepanjang Piala Dunia 2026

#digitalbernamatv #MCMC #tindakan #tegas #judi #talian",,,,"Replies: , Retweets: 2, Likes: "
@fransis74201222,"YANG ANTEK ASING YANG  NYOGOK PAMAN SAM , BANTU PERANG SRIWIL DENGAN MEMERAS RAKYAT .ANTEK ASING  YG JUAL ? APA DI KASIH GRATIS ?   AIR PORT  KERTAJATI . NYOGOK TERUUS TAKUT DI ADILI SEBAGAI   PELANGGAR HAM .HARUS SEGERA DIADILI  AGAR TIDAK  MENJADI - JADI   ZHOLIIM NYA .",,,@RayylambeabangR,"Replies: , Retweets: 1, Likes: 1"
@PolsekSara45441,"STOP JUDI ONLINE & JUDI NOMOR!

Polres Madiun mengimbau seluruh masyarakat Kabupaten Madiun untuk menjauhi segala bentuk perjudian, baik judi online maupun judi nomor yang saat ini semakin marak dan mudah diakses.

Jangan sampai tergiur iming-iming keuntungan instan.",,,,"Replies: , Retweets: , Likes: "
@BernamaTV,"#BuletinBernama: Tindakan tegas akan diambil terhadap mana-mana pihak yang mempromosi atau menjalankan aktiviti judi dalam talian sempena Piala Dunia FIFA 2026 yang bermula Khamis ini.

#digitalbernamatv #MCMC #judi #PialaDunia2026",,,,"Replies: , Retweets: , Likes: "
@bharianmy,"MCMC to take action on complaints involving gambling content

#BHnasional MCMC will take action against any complaints involving online gambling content, ahead of the 2026 World Cup


https://
bharian.com.my/berita/nasiona
l/2026/06/1569131/mcmc-akan-ambil-tindakan-aduan-kandungan-berunsur-judi
…",,,,"Replies: , Retweets: 1, Likes: 2"
@HumasJatiasih,"STOP JUDI ONLINE

Judi online bukan solusi mencari keuntungan, melainkan jalan yang dapat merusak masa depan, ekonomi keluarga, dan kesehatan mental. Banyak korban kehilangan uang, terjerat utang, hingga mengalami konflik sosial akibat kecanduan judi online.",,,,"Replies: , Retweets: , Likes: 1"
@PMejayan,"STOP JUDI ONLINE & JUDI NOMOR!

Polres Madiun mengimbau seluruh masyarakat Kabupaten Madiun untuk menjauhi segala bentuk perjudian, baik judi online maupun judi nomor yang saat ini semakin marak dan mudah diakses.",,,,"Replies: , Retweets: , Likes: "
@HumasKaltara,"Halo Sobat Polri Stop bermain Judi Online!!

Ini mencangkup berbagai jenis permainan, seperti taruhan Olahraga, Kasino Online, Poker, dan Permainan lainnya yang dapat diakses melalui situs web atau aplikasi khusus.


@DivHumas_Polri
 
@ListyoSigitP
 
#poldakaltara #kaltara #polri","@DivHumas_Polri, @ListyoSigitP",,,"Replies: , Retweets: , Likes: "
@BernamaTV,"Tindakan tegas akan diambil terhadap mana-mana pihak yang mempromosi atau menjalankan aktiviti judi dalam talian sempena Piala Dunia FIFA 2026 yang bermula Khamis ini.

#digitalbernamatv 
#fahmifadzil 
#mcmc 
#pialadunia2026",,,,"Replies: , Retweets: , Likes: "
@PNglegok,"Judi memang bukan gangguan kamtibmas yang terlihat secara langsung seperti pencurian, perkelahian, atau tindak kriminal lainnya. Namun, dampaknya dapat merusak sendi-sendi kehidupan masyarakat, terutama ekonomi dan kesehatan mental keluarga.",,,,"Replies: , Retweets: , Likes: "
@ANTI_ILEGAL," OFFICIAL ABUSE REPORT | 
@Namecheap

Domains 
http://
hanoman77b.online and 
http://
hanoman77.art — including subdomain 
http://
mp001.hanoman77b.online — are confirmed to be operating as illegal online gambling platforms actively targeting Indonesian citizens.
 Legal Violations:
▸",@Namecheap,,,"Replies: 1, Retweets: , Likes: "
@PolsekKarangas1,"Bhabinkamtibmas Kelurahan Karangasem Aipda Ni Putu Prajnacita Astrayani melaksanakan kegiatan sambang dan dialogis dengan sejumlah anak-anak di Lingkungan Ujung, Senin (8/6). Dalam kegiatan tersebut, Bhabinkamtibmas menyampaikan edukasi mengenai bahaya judi online",,,,"Replies: , Retweets: , Likes: "
@Kamzam08477773,"Ka ka ka!!  Aktiviti2 haram spt : A""lon g, Ayam, hiburan 2, nudi  haram, Ekor haram   

Piala Dunia 2026: PDRM lancar Ops Soga XI kekang judi, pertaruhan haram semasa",,,,"Replies: , Retweets: , Likes: "
@Farhanaayuptr,akhirnya Komdigi tegas tangani situs berbahaya seperti seword,,,,"Replies: , Retweets: , Likes: "
@INRI2025,"Pemerintah harus hapus aplikasi apapun jika dipakai oleh pelaku judi online utk mencuri uang milik ribuan orang tolol Indonesia


@prabowo

DPR RI
BAKTI Komdigi

@BAKTIKomdigi

#UangKita

@KemenkeuRI

Kejaksaan RI
CNBC Indonesia","@prabowo, @BAKTIKomdigi, @KemenkeuRI",,,"Replies: , Retweets: , Likes: "
@EranDjatmika,"blok judol?, dia orang komdigi?",,@akuserureion,,"Replies: , Retweets: 7, Likes: 210"
@Takoyakixb,"Izin curhat le ,jujur gw umur 22 kecanduan main judol le sampe pernah gajian uang ada duit 5jt habis le gara gara judol le, nah sekarang gw mulai coba coba pinjol le karna gw dah kecanduan dan gk ada duit gw coba aj pinjol,dan ternyata coba pinjol bukan nya enak malah gw di teror",,,,"Replies: 1, Retweets: , Likes: 1"
@riyanto_hardi,"Polisi tangkap 320 pelaku judol, ngapain kerja komdigi?",,,,"Replies: , Retweets: , Likes: "
@rapunjellyeuw,JUDOL NOH URUIN KOMDIGI NGAPAIN NGURUSIN SEC ACCOUNT IDIEEEE NOH BUZZER PESENAN PUSAT DI LACAKK ISINYA FAKE SMUA PESENAN,,,@kumparan,"Replies: , Retweets: , Likes: "
@Perkembang105,"8,1 Juta Konten Judol Diblokir!
Komdigi terus bergerak berantas judi online di ruang digital Indonesia.
Temukan konten judol? Jangan klik. Jangan sebar. Laporkan ke 
http://
aduankonten.id
Bersama kita jaga ruang digital tetap bersih!",,,,"Replies: , Retweets: , Likes: "
